time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 00:00:00,2026.7206092244871,2026.7206092244871,2026.7206092244871,2026.7206092244871,2026.7206092244871,2026.7206092244871,0.0,0.0,0.0,0.0,0.0,cold standby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 00:15:00,1748.6068672524257,1748.6068672524257,1748.6068672524257,1748.6068672524257,1748.6068672524257,1748.6068672524257,10491.64,10490.94,10490.94,0.0,10363.44,booting,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03 00:30:00,1469.7412960043555,1469.7412960043555,1469.7412960043555,1469.7412960043555,1469.7412960043555,1469.7412960043555,8818.45,8817.75,8817.75,187.21,0.0,production,4,1672.45,1488.22,-14635.67,11.48,-1.61,29.0,1.84,2.91,0.21,0.0,65.8,65.8,8817.75
2024-03-03 00:45:00,2083.8911933141685,2083.8911933141685,2083.8911933141685,2083.8911933141685,2083.8911933141685,2083.8911933141685,12503.35,12502.65,12321.66,256.63,0.0,production,4,2292.61,2040.08,-25771.69,14.47,-2.03,31.0,1.81,2.54,0.25,0.0,64.82,64.82,12502.65
2024-03-03 01:00:00,2198.545433387801,2198.545433387801,2198.545433387801,2198.545433387801,2198.545433387801,2198.545433387801,13191.27,13190.57,12936.58,268.42,0.0,production,4,2397.94,2133.8,-27947.06,14.94,-2.09,31.0,1.8,2.48,0.26,0.0,64.62,64.62,13190.57
2024-03-03 01:15:00,1639.195293574743,1639.195293574743,1639.195293574743,1639.195293574743,1639.195293574743,1639.195293574743,9835.17,9834.47,9567.34,202.39,0.0,production,4,1808.06,1608.9,-16826.43,12.16,-1.7,29.0,1.84,2.82,0.22,0.0,65.63,65.63,9834.47
2024-03-03 01:30:00,1920.95333969248,1920.95333969248,1920.95333969248,1920.95333969248,1920.95333969248,1920.95333969248,11525.72,11525.02,11328.48,237.34,0.0,production,4,2120.28,1886.73,-22391.33,13.67,-1.91,30.0,1.82,2.63,0.24,0.0,65.14,65.14,11525.02
2024-03-03 01:45:00,2088.5991392308347,2088.5991392308347,2088.5991392308347,2088.5991392308347,2088.5991392308347,2088.5991392308347,12531.59,12530.89,12297.78,256.17,0.0,production,4,2288.5,2036.42,-25688.47,14.45,-2.02,31.0,1.81,2.54,0.25,0.0,64.83,64.83,12530.89
2024-03-03 02:00:00,1864.037080626936,1864.037080626936,1864.037080626936,1864.037080626936,1864.037080626936,1864.037080626936,11184.22,11183.52,10930.04,229.52,0.0,production,4,2050.42,1824.57,-21083.06,13.34,-1.87,30.0,1.82,2.66,0.23,0.0,65.28,65.28,11183.52
2024-03-03 02:15:00,2990.5998960212896,2990.5998960212896,2990.5998960212896,2990.5998960212896,2990.5998960212896,2990.5998960212896,17943.6,17942.9,17718.19,307.24,2718.19,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15224.71
2024-03-03 02:30:00,3436.5348930016025,3436.5348930016025,3436.5348930016025,3436.5348930016025,3436.5348930016025,3436.5348930016025,20619.21,20618.51,20306.26,307.24,5306.26,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15312.25
2024-03-03 02:45:00,3283.8867314084214,3283.8867314084214,3283.8867314084214,3283.8867314084214,3283.8867314084214,3283.8867314084214,19703.32,19702.62,19390.37,307.24,4390.37,production,4,2744.74,2442.4,-35680.41,16.45,-2.3,32.0,1.78,2.3,0.3,0.0,63.89,63.89,15312.25
