,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
,0,2,10,0,10,80
2017-01-01 00:00:00+01:00,98405.7,267.6,5.326969999999999,0.15,267.57,7.80697
2017-01-01 01:00:00+01:00,98382.7,267.6,5.46199,0.15,267.55,7.86199
2017-01-01 02:00:00+01:00,98362.9,267.61,5.67899,0.15,267.54,8.598989999999999
2017-01-01 03:00:00+01:00,98340.9,267.63,5.68466,0.15,267.56,7.894660000000001
2017-01-01 04:00:00+01:00,98336.8,267.63,5.38084,0.15,267.61,7.57084
2017-01-01 05:00:00+01:00,98334.2,267.61,5.2828599999999994,0.15,267.55,7.512860000000001
2017-01-01 06:00:00+01:00,98324.6,267.55,5.43709,0.15,267.52,7.737089999999999
2017-01-01 07:00:00+01:00,98345.1,267.51,5.491619999999999,0.15,267.46,8.22162
2017-01-01 08:00:00+01:00,98394.9,267.48,5.52631,0.15,267.45,7.766310000000001
2017-01-01 09:00:00+01:00,98446.6,267.67,5.57199,0.15,267.6,7.7419899999999995
2017-01-01 10:00:00+01:00,98486.0,267.95,5.38384,0.15,267.88,7.94384
2017-01-01 11:00:00+01:00,98568.0,268.27,5.31816,0.15,268.19,7.75816
2017-01-01 12:00:00+01:00,98609.2,268.49,5.9200800000000005,0.15,268.46,8.36008
2017-01-01 13:00:00+01:00,98716.8,268.61,5.50331,0.15,268.53,7.953310000000001
2017-01-01 14:00:00+01:00,98834.5,268.56,5.16204,0.15,268.48,7.98204
2017-01-01 15:00:00+01:00,98911.4,268.38,4.94334,0.15,268.35,7.823339999999999
2017-01-01 16:00:00+01:00,98999.0,268.22,4.62725,0.15,268.15,7.75725
2017-01-01 17:00:00+01:00,99083.0,268.11,4.20744,0.15,268.07,6.54744
2017-01-01 18:00:00+01:00,99166.6,267.98,3.9600800000000005,0.15,267.9,6.370080000000001
2017-01-01 19:00:00+01:00,99249.6,267.8,4.18155,0.15,267.75,6.53155
2017-01-01 20:00:00+01:00,99299.1,267.44,4.38756,0.15,267.38,6.72756
2017-01-01 21:00:00+01:00,99355.0,266.96,4.35175,0.15,266.92,6.59175
2017-01-01 22:00:00+01:00,99414.6,266.48,4.1938699999999995,0.15,266.45,7.05387
2017-01-01 23:00:00+01:00,99489.6,266.09,3.95468,0.15,266.03,6.2946800000000005
2017-01-02 00:00:00+01:00,99571.5,265.77,3.8039099999999997,0.15,265.72,6.40391
2017-01-02 01:00:00+01:00,99650.6,265.5,3.7534099999999997,0.15,265.47,6.43341
2017-01-02 02:00:00+01:00,99725.8,265.17,3.6845199999999996,0.15,265.1,6.60452
2017-01-02 03:00:00+01:00,99808.4,264.52,3.64885,0.15,264.48,6.15885
2017-01-02 04:00:00+01:00,99902.3,263.77,3.64895,0.15,263.74,6.21895
2017-01-02 05:00:00+01:00,99984.0,262.95,3.26095,0.15,262.88,6.01095
2017-01-02 06:00:00+01:00,100051.0,262.39,2.82002,0.15,262.36,4.9900199999999995
2017-01-02 07:00:00+01:00,100127.0,261.87,2.6383099999999997,0.15,261.83,5.54831
2017-01-02 08:00:00+01:00,100213.0,261.44,2.60467,0.15,261.4,5.62467
2017-01-02 09:00:00+01:00,100301.0,261.65,2.48291,0.15,261.62,5.4429099999999995
2017-01-02 10:00:00+01:00,100361.0,261.92,2.2749099999999998,0.15,261.89,5.25491
2017-01-02 11:00:00+01:00,100411.0,262.18,2.05207,0.15,262.13,5.13207
2017-01-02 12:00:00+01:00,100456.0,262.4,1.84496,0.15,262.34,4.89496
2017-01-02 13:00:00+01:00,100502.0,262.39,1.71002,0.15,262.35,4.85002
2017-01-02 14:00:00+01:00,100544.0,262.11,1.6591200000000002,0.15,262.04,4.31912
2017-01-02 15:00:00+01:00,100588.0,261.71,1.85037,0.15,261.65,4.000369999999999
2017-01-02 16:00:00+01:00,100623.0,261.44,2.0592599999999996,0.15,261.41,4.22926
2017-01-02 17:00:00+01:00,100659.0,261.92,2.19697,0.15,261.87,5.286969999999999
2017-01-02 18:00:00+01:00,100681.0,262.12,2.36407,0.15,262.06,4.81407
2017-01-02 19:00:00+01:00,100680.0,262.12,2.68317,0.15,262.08,5.153169999999999
2017-01-02 20:00:00+01:00,100665.0,262.11,2.88922,0.15,262.07,5.27922
2017-01-02 21:00:00+01:00,100666.0,263.05,2.82869,0.15,263.0,5.9686900000000005
2017-01-02 22:00:00+01:00,100671.0,263.87,2.9034299999999997,0.15,263.84,5.11343
2017-01-02 23:00:00+01:00,100673.0,264.67,3.00159,0.15,264.64,5.38159
2017-01-03 00:00:00+01:00,100667.0,265.4,3.05818,0.15,265.33,5.38818
2017-01-03 01:00:00+01:00,100665.0,266.02,3.00373,0.15,265.99,5.49373
2017-01-03 02:00:00+01:00,100680.0,266.43,2.75149,0.15,266.38,5.34149
2017-01-03 03:00:00+01:00,100679.0,266.7,2.51612,0.15,266.65,5.05612
2017-01-03 04:00:00+01:00,100674.0,266.92,2.37815,0.15,266.87,4.96815
2017-01-03 05:00:00+01:00,100665.0,267.08,2.1536299999999997,0.15,267.02,4.45363
2017-01-03 06:00:00+01:00,100661.0,267.25,2.02063,0.15,267.22,4.76063
2017-01-03 07:00:00+01:00,100659.0,267.42,1.95815,0.15,267.34,5.01815
2017-01-03 08:00:00+01:00,100658.0,267.55,1.9779200000000001,0.15,267.48,4.82792
2017-01-03 09:00:00+01:00,100660.0,268.08,2.55804,0.15,268.01,5.06804
2017-01-03 10:00:00+01:00,100694.0,268.45,3.32156,0.15,268.41,5.74156
2017-01-03 11:00:00+01:00,100735.0,268.53,3.6103,0.15,268.51,5.8803
2017-01-03 12:00:00+01:00,100768.0,268.44,3.4401300000000004,0.15,268.38,6.56013
2017-01-03 13:00:00+01:00,100796.0,268.23,2.96,0.15,268.18,5.42
2017-01-03 14:00:00+01:00,100837.0,267.75,2.35225,0.15,267.71,5.39225
2017-01-03 15:00:00+01:00,100866.0,266.4,2.01119,0.15,266.32,5.01119
2017-01-03 16:00:00+01:00,100887.0,264.81,2.1198799999999998,0.15,264.76,4.389880000000001
2017-01-03 17:00:00+01:00,100918.0,263.67,2.2944400000000003,0.15,263.63,5.16444
2017-01-03 18:00:00+01:00,100952.0,262.72,2.27325,0.15,262.68,5.20325
2017-01-03 19:00:00+01:00,100985.0,262.0,2.15235,0.15,261.97,4.32235
2017-01-03 20:00:00+01:00,100994.0,261.32,1.8934099999999998,0.15,261.25,4.7634099999999995
2017-01-03 21:00:00+01:00,101000.0,260.86,1.6545400000000001,0.15,260.83,4.09454
2017-01-03 22:00:00+01:00,101008.0,260.51,1.52908,0.15,260.44,3.7190800000000004
2017-01-03 23:00:00+01:00,101029.0,260.2,1.48863,0.15,260.13,4.38863
2017-01-04 00:00:00+01:00,101045.0,259.9,1.4753,0.15,259.84,3.8553
2017-01-04 01:00:00+01:00,101052.0,259.62,1.50899,0.15,259.57,4.00899
2017-01-04 02:00:00+01:00,101037.0,259.45,1.28043,0.15,259.37,3.5104300000000004
2017-01-04 03:00:00+01:00,100998.0,259.31,1.10342,0.15,259.28,3.7434199999999995
2017-01-04 04:00:00+01:00,100954.0,259.15,1.06461,0.15,259.13,3.55461
2017-01-04 05:00:00+01:00,100920.0,259.09,0.9252600000000001,0.15,259.06,3.23526
