,wind_speed,pressure,temperature,roughness_length
,10,0,2,0
time,,,,
2015-01-01 00:00:00,1.65,102455.0,273.59999999999997,0.15
2015-01-01 00:15:00,2.0,102450.0,274.15,0.15
2015-01-01 00:30:00,2.0999999999999996,102434.99999999999,274.5,0.15
2015-01-01 00:45:00,1.4,102440.00000000001,274.45,0.15
2015-01-01 01:00:00,1.2000000000000002,102459.99999999999,274.34999999999997,0.15
2015-01-01 01:15:00,1.1,102459.99999999999,274.25,0.15
2015-01-01 01:30:00,1.25,102465.00000000001,274.2,0.15
2015-01-01 01:45:00,1.7,102470.0,273.95,0.15
2015-01-01 02:00:00,1.4,102455.0,273.75,0.15
2015-01-01 02:15:00,2.0,102440.00000000001,273.75,0.15
2015-01-01 02:30:00,2.05,102440.00000000001,273.75,0.15
2015-01-01 02:45:00,1.8,102420.0,273.75,0.15
2015-01-01 03:00:00,1.25,102440.00000000001,273.75,0.15
2015-01-01 03:15:00,2.0,102409.99999999999,273.65,0.15
2015-01-01 03:30:00,1.7999999999999998,102409.99999999999,273.65,0.15
2015-01-01 03:45:00,1.6,102409.99999999999,273.75,0.15
2015-01-01 04:00:00,1.2000000000000002,102380.0,273.9,0.15
2015-01-01 04:15:00,1.9,102340.0,273.95,0.15
2015-01-01 04:30:00,2.05,102345.0,273.95,0.15
2015-01-01 04:45:00,1.1,102390.0,273.95,0.15
2015-01-01 05:00:00,1.25,102445.0,273.9,0.15
2015-01-01 05:15:00,1.4,102480.0,273.75,0.15
2015-01-01 05:30:00,1.9500000000000002,102475.0,273.65,0.15
2015-01-01 05:45:00,1.7,102509.99999999999,273.54999999999995,0.15
2015-01-01 06:00:00,1.75,102515.00000000001,273.5,0.15
2015-01-01 06:15:00,1.9,102530.0,273.65,0.15
2015-01-01 06:30:00,1.3,102544.99999999999,273.65,0.15
2015-01-01 06:45:00,1.0,102559.99999999999,273.75,0.15
2015-01-01 07:00:00,1.95,102534.99999999999,273.79999999999995,0.15
2015-01-01 07:15:00,2.0,102509.99999999999,273.75,0.15
2015-01-01 07:30:00,2.05,102500.0,273.79999999999995,0.15
2015-01-01 07:45:00,2.3,102470.0,273.75,0.15
2015-01-01 08:00:00,2.9,102434.99999999999,273.65,0.15
2015-01-01 08:15:00,3.1,102390.0,273.65,0.15
2015-01-01 08:30:00,2.65,102375.0,273.7,0.15
2015-01-01 08:45:00,2.7,102370.0,273.95,0.15
2015-01-01 09:00:00,3.25,102345.0,274.09999999999997,0.15
2015-01-01 09:15:00,0.8,102430.0,274.34999999999997,0.15
2015-01-01 09:30:00,0.8,102495.0,274.34999999999997,0.15
2015-01-01 09:45:00,0.8,102500.0,275.15,0.15
2015-01-01 10:00:00,0.7,102500.0,275.65,0.15
2015-01-01 10:15:00,1.4,102480.0,275.95,0.15
2015-01-01 10:30:00,1.95,102455.0,276.04999999999995,0.15
2015-01-01 10:45:00,2.5,102440.00000000001,276.25,0.15
2015-01-01 11:00:00,2.8,102425.0,276.45,0.15
2015-01-01 11:15:00,2.6,102409.99999999999,276.45,0.15
2015-01-01 11:30:00,3.0,102395.0,276.79999999999995,0.15
2015-01-01 11:45:00,2.8,102360.0,277.25,0.15
2015-01-01 12:00:00,3.7,102290.00000000001,277.45,0.15
2015-01-01 12:15:00,3.5,102250.0,277.54999999999995,0.15
2015-01-01 12:30:00,2.6,102265.00000000001,277.75,0.15
2015-01-01 12:45:00,2.5,102250.0,278.25,0.15
2015-01-01 13:00:00,2.45,102240.0,278.5,0.15
2015-01-01 13:15:00,2.2,102250.0,278.84999999999997,0.15
2015-01-01 13:30:00,2.35,102245.0,279.0,0.15
2015-01-01 13:45:00,3.3,102230.0,279.15,0.15
2015-01-01 14:00:00,3.85,102205.0,278.84999999999997,0.15
2015-01-01 14:15:00,3.7,102190.0,278.25,0.15
2015-01-01 14:30:00,3.5999999999999996,102195.0,277.59999999999997,0.15
2015-01-01 14:45:00,4.0,102180.0,277.25,0.15
2015-01-01 15:00:00,3.9,102170.0,276.9,0.15
2015-01-01 15:15:00,3.6,102160.0,276.65,0.15
2015-01-01 15:30:00,3.7,102155.0,276.7,0.15
2015-01-01 15:45:00,3.3,102170.0,275.95,0.15
2015-01-01 16:00:00,3.0,102165.00000000001,275.95,0.15
2015-01-01 16:15:00,3.3,102150.0,275.75,0.15
2015-01-01 16:30:00,3.75,102125.0,275.5,0.15
2015-01-01 16:45:00,3.8,102120.0,275.45,0.15
2015-01-01 17:00:00,4.4,102075.0,275.29999999999995,0.15
2015-01-01 17:15:00,4.3,102030.0,275.34999999999997,0.15
2015-01-01 17:30:00,3.65,102035.0,275.09999999999997,0.15
2015-01-01 17:45:00,3.8,102030.0,275.25,0.15
2015-01-01 18:00:00,3.5999999999999996,102025.0,275.09999999999997,0.15
2015-01-01 18:15:00,3.2,102020.0,275.15,0.15
2015-01-01 18:30:00,3.3,102025.0,275.09999999999997,0.15
2015-01-01 18:45:00,4.6,101990.0,275.15,0.15
2015-01-01 19:00:00,3.85,101980.0,275.29999999999995,0.15
2015-01-01 19:15:00,3.0,102000.0,275.15,0.15
2015-01-01 19:30:00,3.9,101970.0,275.29999999999995,0.15
2015-01-01 19:45:00,3.8,101970.0,275.25,0.15
2015-01-01 20:00:00,3.7,101975.0,275.4,0.15
2015-01-01 20:15:00,2.7,101980.0,275.04999999999995,0.15
2015-01-01 20:30:00,3.8,101955.0,275.0,0.15
2015-01-01 20:45:00,4.5,101920.0,274.95,0.15
2015-01-01 21:00:00,4.4,101895.0,275.15,0.15
2015-01-01 21:15:00,4.3,101880.0,275.15,0.15
2015-01-01 21:30:00,4.15,101870.0,275.09999999999997,0.15
2015-01-01 21:45:00,4.3,101840.0,275.15,0.15
2015-01-01 22:00:00,4.1,101825.0,275.29999999999995,0.15
2015-01-01 22:15:00,4.3,101800.0,275.04999999999995,0.15
2015-01-01 22:30:00,4.35,101800.0,275.09999999999997,0.15
2015-01-01 22:45:00,5.4,101750.0,275.15,0.15
2015-01-01 23:00:00,4.9,101720.0,275.34999999999997,0.15
2015-01-01 23:15:00,4.5,101700.0,275.25,0.15
2015-01-01 23:30:00,4.1,101684.99999999999,275.45,0.15
2015-01-01 23:45:00,4.0,101680.0,275.54999999999995,0.15
2015-01-02 00:00:00,3.7,101659.99999999999,275.7,0.15
2015-01-02 00:15:00,4.2,101620.0,275.25,0.15
2015-01-02 00:30:00,4.5,101605.0,275.29999999999995,0.15
2015-01-02 00:45:00,5.5,101600.0,275.65,0.15
2015-01-02 01:00:00,5.15,101595.0,276.09999999999997,0.15
2015-01-02 01:15:00,5.8,101580.0,276.25,0.15
2015-01-02 01:30:00,5.95,101550.0,276.2,0.15
2015-01-02 01:45:00,5.5,101530.0,276.45,0.15
2015-01-02 02:00:00,5.35,101500.0,276.79999999999995,0.15
2015-01-02 02:15:00,5.6,101480.0,277.15,0.15
2015-01-02 02:30:00,5.6,101450.0,277.29999999999995,0.15
2015-01-02 02:45:00,5.7,101410.0,277.65,0.15
2015-01-02 03:00:00,5.449999999999999,101395.0,277.75,0.15
2015-01-02 03:15:00,4.8,101380.0,277.65,0.15
2015-01-02 03:30:00,5.25,101340.0,277.79999999999995,0.15
2015-01-02 03:45:00,5.0,101320.0,277.54999999999995,0.15
2015-01-02 04:00:00,4.65,101310.0,277.15,0.15
2015-01-02 04:15:00,4.1,101310.0,276.95,0.15
